path,text
/data/filtered-cv10-test/100.wav,тим важча хвороба божевілля володіє кожним чим він розумнішим здається для інших
/data/filtered-cv10-test/1000.wav,а землі що лежать за волгою і в'яткою аж ніяк не належали москві
/data/filtered-cv10-test/1002.wav,князь олександр брав особисту участь у придушенні бунту в ростові володимирі суздалі ярославлі
/data/filtered-cv10-test/1003.wav,дивуватися не варто бували вигадки і гидотніші і брехливіші
/data/filtered-cv10-test/1004.wav,я не знаю були задоволені чи ні брати отриманими наділами
/data/filtered-cv10-test/1006.wav,скороход прокинувсь мерщій туди
/data/filtered-cv10-test/1007.wav,начебто зречення від царського титулу відбулося без будь-яких причин
/data/filtered-cv10-test/1008.wav,батьки мої мали дуже багато дітей і дуже мало грошей
/data/filtered-cv10-test/1009.wav,за структурою гіфи шкірки різко відрізняються від гіф внутрішньої м'якоті капелюшка
/data/filtered-cv10-test/101.wav,іншого мовляв не могло бути
/data/filtered-cv10-test/1010.wav,іладіка несамовито гукнула
/data/filtered-cv10-test/1012.wav,якщо знайдете в чомусь неправду викрийте мене
/data/filtered-cv10-test/2214.wav,з такими запитаннями частенько звертаються слухачі до всіх письменників
/data/filtered-cv10-test/2215.wav,з цього часу і до кінця війни керував радянською дальньою авіацією
/data/filtered-cv10-test/2216.wav,вигуки
/data/filtered-cv10-test/2217.wav,антибанківський
/data/filtered-cv10-test/2218.wav,за правління перших трьох шьоґунів була створена централізована система влади
/data/filtered-cv10-test/2219.wav,хай на твоєму буде борисе
/data/filtered-cv10-test/222.wav,люда дрімала поклавши голову на стіл
/data/filtered-cv10-test/2220.wav,візьмемо твір близький за жанром до його поеми казання руське
/data/filtered-cv10-test/2221.wav,з цього віку дитині можна давати пюре і кашу на ложці
/data/filtered-cv10-test/2222.wav,й розповіла йому все що сталось перед його поверненням з далекого походу
/data/filtered-cv10-test/2223.wav,росія три сотні років вела цілеспрямовану політику ліквідації українців
/data/filtered-cv10-test/3451.wav,іммігрант у торонто розкаже що всі навколо іммігранти
/data/filtered-cv10-test/3452.wav,зробили вже донесення начальству щоб провести в полку чистку
/data/filtered-cv10-test/3453.wav,сивилла пальцем указала
/data/filtered-cv10-test/3454.wav,був прибитий і нещасний
/data/filtered-cv10-test/3455.wav,боротьбу за волю за нашу державу
/data/filtered-cv10-test/3456.wav,округ щорічно затверджує програму професійної підготовки створює центри професійного навчання утримує ліцеї
/data/filtered-cv10-test/3457.wav,походить більш на сатану
/data/filtered-cv10-test/3458.wav,тільки я з полком до села нема його вже звіявся
/data/filtered-cv10-test/3459.wav,почулися вигуки
/data/filtered-cv10-test/3460.wav,всього не можна охопити навіть думкою
/data/filtered-cv10-test/3461.wav,звичайно ж димитрієві донському навіть на гадку не спадало нічого схожого
/data/filtered-cv10-test/3462.wav,якийсь внутрішній голос підказував миколі що цей час настав і завдання на його плечах
/data/filtered-cv10-test/3463.wav,невмируща міць народа усе лихе переживе
/data/filtered-cv10-test/3464.wav,повертаючись із орди помер у дорозі великий володимирський князь олександр ярославович
/data/filtered-cv10-test/3465.wav,довіряти їм можна було спокійно
/data/filtered-cv10-test/1521.wav,герцог і герцогиня кембриджські познайомилися ще в студентські роки
/data/filtered-cv10-test/1522.wav,кого не пече той ся не відсуває
/data/filtered-cv10-test/1523.wav,масштаб вашої особистості визначається величиною проблеми яка здатна вас вивести з себе
/data/filtered-cv10-test/1524.wav,я знаю мова мамина свята в ній вічний незнищенний дух народу
/data/filtered-cv10-test/1525.wav,волосся вона зібрала на потилиці в пучок
/data/filtered-cv10-test/1526.wav,тут є два аспекти
/data/filtered-cv10-test/1527.wav,воістину брехня несусвітня яка не знає межі
/data/filtered-cv10-test/1528.wav,звільнятися від вікового духовно рабства важко
/data/filtered-cv10-test/1529.wav,іноді поступ людський виростає на могилах як пшениця на зораній ниві
/data/filtered-cv10-test/153.wav,дон кіхот і санчо
/data/filtered-cv10-test/1530.wav,йому начхати на волевиявлення народу україни до речі й російськомовного в тому числі
/data/filtered-cv10-test/1531.wav,як кіт наплакав
/data/filtered-cv10-test/1532.wav,ми ще переконаємося в тому що свою формулу жириновський поцупив у династії романових
/data/filtered-cv10-test/1533.wav,але цікаво інше
/data/filtered-cv10-test/1534.wav,держава сприяє розвиткові науки встановленню наукових зв'язків україни зі світовим співтовариством
/data/filtered-cv10-test/1535.wav,миловидна чепурненька господиня радісно привітала олю
/data/filtered-cv10-test/1536.wav,іду на тачанці прив'язавши до неї сірого
/data/filtered-cv10-test/535.wav,страх рясне джерело пороків
/data/filtered-cv10-test/539.wav,я беру в неї свій твір і підписую
/data/filtered-cv10-test/540.wav,послухаймо професора
/data/filtered-cv10-test/541.wav,ефес зазвичай виконаний у формі гака кінець якого має форму коня або птаха
/data/filtered-cv10-test/542.wav,вхід за собою закривали прямокутним ящиком у якому ріс кущ ліщини
/data/filtered-cv10-test/543.wav,а ви спробуйте
/data/filtered-cv10-test/544.wav,зараз вивчимо міфи складені на потребу імперської величі
/data/filtered-cv10-test/545.wav,вільний од злочину я і від кайданів звільнюся
/data/filtered-cv10-test/546.wav,такий ось московит митрополит алексій рятівник людських душ цілковита пародія на релігійного священика
/data/filtered-cv10-test/547.wav,як бачимо воєнні дії велися практично в межах міста севастополя
/data/filtered-cv10-test/548.wav,навіщо авторові потрібна була маніпуляція відомо
/data/filtered-cv10-test/549.wav,затримано раніше трьох підозрюваних у виконанні злочину
/data/filtered-cv10-test/55.wav,нема ради треба пакувати і далі нести
/data/filtered-cv10-test/550.wav,якщо хтось плює тобі в спину значить ти попереду
/data/filtered-cv10-test/551.wav,кольорові різновиди корунда дорогоцінні камені
/data/filtered-cv10-test/552.wav,чи зроблена ця робота
/data/filtered-cv10-test/553.wav,везе з роси й з води і з усякої калабані
/data/filtered-cv10-test/1024.wav,ящірка не гірше за орла досягає найвищих гірських верховин
/data/filtered-cv10-test/1043.wav,розв'язавши державну бійню проти маленької волелюбної чечні-ічкерії звалили усю відповідальність на неї
/data/filtered-cv10-test/106.wav,так-так саме з вікіпедій
/data/filtered-cv10-test/1075.wav,я вже знаю всю її біографію і багато чого з життя її колишніх знайомих
/data/filtered-cv10-test/1183.wav,значний внесок у справу створення коментаря зробили такі радянські літературознавці
/data/filtered-cv10-test/1258.wav,підношу до очей далековид
/data/filtered-cv10-test/1334.wav,рельєф околиць рівнинний
/data/filtered-cv10-test/1416.wav,ой петре боюся тобі сказати
/data/filtered-cv10-test/2935.wav,та як думку не може ніщо перегнати то й непевності мислі нічим не здолати
/data/filtered-cv10-test/2936.wav,коли земля їм мати то отець їм небо
/data/filtered-cv10-test/2937.wav,колоду в своєму оці треба помічати
/data/filtered-cv10-test/2938.wav,тож розглянемо це питання докладніше аналізуючи роботу рубрука в інших напрямах
/data/filtered-cv10-test/2939.wav,настала черга білого духовенства
/data/filtered-cv10-test/294.wav,добробут і щастя країни з найбільшим населенням у світі залежить від цього
/data/filtered-cv10-test/2940.wav,не такий страшний чорт як його малюють
/data/filtered-cv10-test/2941.wav,живемо як горох на дорозі хто не йде той скубне
/data/filtered-cv10-test/2942.wav,погляньте на сполучені штати і ви все зрозумієте
/data/filtered-cv10-test/2944.wav,іноді поступ людський виростає на могилах як пшениця на зораній ниві
/data/filtered-cv10-test/2945.wav,реквієм завжди він іншим співав і спочив сам нарешті
/data/filtered-cv10-test/2946.wav,повертаючись із орди помер в дорозі великий володимирський князь ярослав ярославович
/data/filtered-cv10-test/2947.wav,відбулася дуже тонка гра
/data/filtered-cv10-test/2948.wav,хто живе в благословенному подружжі той живе розважливо
/data/filtered-cv10-test/2949.wav,коваль стоян зійшов на теремний ґанок і земно вклонився вічеві
/data/filtered-cv10-test/2950.wav,що видиш там отрочице
/data/filtered-cv10-test/2951.wav,руській землі без князя великого
/data/filtered-cv10-test/2952.wav,сестра
/data/filtered-cv10-test/1840.wav,у кого що болить про те й кричить
/data/filtered-cv10-test/1841.wav,безліч шляхів є для смерті на світ ми одним лиш приходим
/data/filtered-cv10-test/1842.wav,зла річ є незгода
/data/filtered-cv10-test/1843.wav,у письменника тільки один вчитель самі читачі
/data/filtered-cv10-test/1844.wav,вочевидь і хан берке пам'ятав про анду сартака олександра
/data/filtered-cv10-test/1846.wav,не воліє вона
/data/filtered-cv10-test/1847.wav,навіть жителів цілих міст як псковитян свого часу відлучали від церкви за непокору ханові
/data/filtered-cv10-test/1849.wav,місяця стичня
