path,text
filtered-cv10-test/100.wav,тим важча хвороба божевілля володіє кожним чим він розумнішим здається для інших
filtered-cv10-test/1000.wav,а землі що лежать за волгою і в'яткою аж ніяк не належали москві
filtered-cv10-test/1002.wav,князь олександр брав особисту участь у придушенні бунту в ростові володимирі суздалі ярославлі
filtered-cv10-test/1003.wav,дивуватися не варто бували вигадки і гидотніші і брехливіші
filtered-cv10-test/1004.wav,я не знаю були задоволені чи ні брати отриманими наділами
filtered-cv10-test/1006.wav,скороход прокинувсь мерщій туди
filtered-cv10-test/1007.wav,начебто зречення від царського титулу відбулося без будь-яких причин
filtered-cv10-test/1008.wav,батьки мої мали дуже багато дітей і дуже мало грошей
filtered-cv10-test/1009.wav,за структурою гіфи шкірки різко відрізняються від гіф внутрішньої м'якоті капелюшка
filtered-cv10-test/101.wav,іншого мовляв не могло бути
filtered-cv10-test/1010.wav,іладіка несамовито гукнула
filtered-cv10-test/1012.wav,якщо знайдете в чомусь неправду викрийте мене
filtered-cv10-test/2214.wav,з такими запитаннями частенько звертаються слухачі до всіх письменників
filtered-cv10-test/2215.wav,з цього часу і до кінця війни керував радянською дальньою авіацією
filtered-cv10-test/2216.wav,вигуки
filtered-cv10-test/2217.wav,антибанківський
filtered-cv10-test/2218.wav,за правління перших трьох шьоґунів була створена централізована система влади
filtered-cv10-test/2219.wav,хай на твоєму буде борисе
filtered-cv10-test/222.wav,люда дрімала поклавши голову на стіл
filtered-cv10-test/2220.wav,візьмемо твір близький за жанром до його поеми казання руське
filtered-cv10-test/2221.wav,з цього віку дитині можна давати пюре і кашу на ложці
filtered-cv10-test/2222.wav,й розповіла йому все що сталось перед його поверненням з далекого походу
filtered-cv10-test/2223.wav,росія три сотні років вела цілеспрямовану політику ліквідації українців
filtered-cv10-test/3451.wav,іммігрант у торонто розкаже що всі навколо іммігранти
filtered-cv10-test/3452.wav,зробили вже донесення начальству щоб провести в полку чистку
filtered-cv10-test/3453.wav,сивилла пальцем указала
filtered-cv10-test/3454.wav,був прибитий і нещасний
filtered-cv10-test/3455.wav,боротьбу за волю за нашу державу
filtered-cv10-test/3456.wav,округ щорічно затверджує програму професійної підготовки створює центри професійного навчання утримує ліцеї
filtered-cv10-test/3457.wav,походить більш на сатану
filtered-cv10-test/3458.wav,тільки я з полком до села нема його вже звіявся
filtered-cv10-test/3459.wav,почулися вигуки
filtered-cv10-test/3460.wav,всього не можна охопити навіть думкою
filtered-cv10-test/3461.wav,звичайно ж димитрієві донському навіть на гадку не спадало нічого схожого
filtered-cv10-test/3462.wav,якийсь внутрішній голос підказував миколі що цей час настав і завдання на його плечах
filtered-cv10-test/3463.wav,невмируща міць народа усе лихе переживе
filtered-cv10-test/3464.wav,повертаючись із орди помер у дорозі великий володимирський князь олександр ярославович
filtered-cv10-test/3465.wav,довіряти їм можна було спокійно
filtered-cv10-test/1521.wav,герцог і герцогиня кембриджські познайомилися ще в студентські роки
filtered-cv10-test/1522.wav,кого не пече той ся не відсуває
filtered-cv10-test/1523.wav,масштаб вашої особистості визначається величиною проблеми яка здатна вас вивести з себе
filtered-cv10-test/1524.wav,я знаю мова мамина свята в ній вічний незнищенний дух народу
filtered-cv10-test/1525.wav,волосся вона зібрала на потилиці в пучок
filtered-cv10-test/1526.wav,тут є два аспекти
filtered-cv10-test/1527.wav,воістину брехня несусвітня яка не знає межі
filtered-cv10-test/1528.wav,звільнятися від вікового духовно рабства важко
filtered-cv10-test/1529.wav,іноді поступ людський виростає на могилах як пшениця на зораній ниві
filtered-cv10-test/153.wav,дон кіхот і санчо
filtered-cv10-test/1530.wav,йому начхати на волевиявлення народу україни до речі й російськомовного в тому числі
filtered-cv10-test/1531.wav,як кіт наплакав
filtered-cv10-test/1532.wav,ми ще переконаємося в тому що свою формулу жириновський поцупив у династії романових
filtered-cv10-test/1533.wav,але цікаво інше
filtered-cv10-test/1534.wav,держава сприяє розвиткові науки встановленню наукових зв'язків україни зі світовим співтовариством
filtered-cv10-test/1535.wav,миловидна чепурненька господиня радісно привітала олю
filtered-cv10-test/1536.wav,іду на тачанці прив'язавши до неї сірого
filtered-cv10-test/535.wav,страх рясне джерело пороків
filtered-cv10-test/539.wav,я беру в неї свій твір і підписую
filtered-cv10-test/540.wav,послухаймо професора
filtered-cv10-test/541.wav,ефес зазвичай виконаний у формі гака кінець якого має форму коня або птаха
filtered-cv10-test/542.wav,вхід за собою закривали прямокутним ящиком у якому ріс кущ ліщини
filtered-cv10-test/543.wav,а ви спробуйте
filtered-cv10-test/544.wav,зараз вивчимо міфи складені на потребу імперської величі
filtered-cv10-test/545.wav,вільний од злочину я і від кайданів звільнюся
filtered-cv10-test/546.wav,такий ось московит митрополит алексій рятівник людських душ цілковита пародія на релігійного священика
filtered-cv10-test/547.wav,як бачимо воєнні дії велися практично в межах міста севастополя
filtered-cv10-test/548.wav,навіщо авторові потрібна була маніпуляція відомо
filtered-cv10-test/549.wav,затримано раніше трьох підозрюваних у виконанні злочину
filtered-cv10-test/55.wav,нема ради треба пакувати і далі нести
filtered-cv10-test/550.wav,якщо хтось плює тобі в спину значить ти попереду
filtered-cv10-test/551.wav,кольорові різновиди корунда дорогоцінні камені
filtered-cv10-test/552.wav,чи зроблена ця робота
filtered-cv10-test/553.wav,везе з роси й з води і з усякої калабані
filtered-cv10-test/1024.wav,ящірка не гірше за орла досягає найвищих гірських верховин
filtered-cv10-test/1043.wav,розв'язавши державну бійню проти маленької волелюбної чечні-ічкерії звалили усю відповідальність на неї
filtered-cv10-test/106.wav,так-так саме з вікіпедій
filtered-cv10-test/1075.wav,я вже знаю всю її біографію і багато чого з життя її колишніх знайомих
filtered-cv10-test/1183.wav,значний внесок у справу створення коментаря зробили такі радянські літературознавці
filtered-cv10-test/1258.wav,підношу до очей далековид
filtered-cv10-test/1334.wav,рельєф околиць рівнинний
filtered-cv10-test/1416.wav,ой петре боюся тобі сказати
filtered-cv10-test/2935.wav,та як думку не може ніщо перегнати то й непевності мислі нічим не здолати
filtered-cv10-test/2936.wav,коли земля їм мати то отець їм небо
filtered-cv10-test/2937.wav,колоду в своєму оці треба помічати
filtered-cv10-test/2938.wav,тож розглянемо це питання докладніше аналізуючи роботу рубрука в інших напрямах
filtered-cv10-test/2939.wav,настала черга білого духовенства
filtered-cv10-test/294.wav,добробут і щастя країни з найбільшим населенням у світі залежить від цього
filtered-cv10-test/2940.wav,не такий страшний чорт як його малюють
filtered-cv10-test/2941.wav,живемо як горох на дорозі хто не йде той скубне
filtered-cv10-test/2942.wav,погляньте на сполучені штати і ви все зрозумієте
filtered-cv10-test/2944.wav,іноді поступ людський виростає на могилах як пшениця на зораній ниві
filtered-cv10-test/2945.wav,реквієм завжди він іншим співав і спочив сам нарешті
filtered-cv10-test/2946.wav,повертаючись із орди помер в дорозі великий володимирський князь ярослав ярославович
filtered-cv10-test/2947.wav,відбулася дуже тонка гра
filtered-cv10-test/2948.wav,хто живе в благословенному подружжі той живе розважливо
filtered-cv10-test/2949.wav,коваль стоян зійшов на теремний ґанок і земно вклонився вічеві
filtered-cv10-test/2950.wav,що видиш там отрочице
filtered-cv10-test/2951.wav,руській землі без князя великого
filtered-cv10-test/2952.wav,сестра
filtered-cv10-test/1840.wav,у кого що болить про те й кричить
filtered-cv10-test/1841.wav,безліч шляхів є для смерті на світ ми одним лиш приходим
filtered-cv10-test/1842.wav,зла річ є незгода
filtered-cv10-test/1843.wav,у письменника тільки один вчитель самі читачі
filtered-cv10-test/1844.wav,вочевидь і хан берке пам'ятав про анду сартака олександра
filtered-cv10-test/1846.wav,не воліє вона
filtered-cv10-test/1847.wav,навіть жителів цілих міст як псковитян свого часу відлучали від церкви за непокору ханові
filtered-cv10-test/1849.wav,місяця стичня
filtered-cv10-test/185.wav,є сотня мов а правда лиш одна
filtered-cv10-test/1851.wav,що дають наставив вухо й великий князь
filtered-cv10-test/1853.wav,ти хто єси може
filtered-cv10-test/1854.wav,хто єсте й хто сле вас до мене
filtered-cv10-test/3691.wav,на вічность пам'яти своєй
filtered-cv10-test/3692.wav,це через тебе батьку бородатий козакам закордону забагнулося
filtered-cv10-test/3693.wav,наступного дня фельдшер викликав до лікарні також і зінкевича
filtered-cv10-test/3694.wav,а ви ж куди це в розвідку
filtered-cv10-test/3695.wav,пострілявши декілька хвилин і не дочекавшись відповіді знову рушили вперед
filtered-cv10-test/3696.wav,подекуди віднайдете щось і на кшталт басейну
filtered-cv10-test/3697.wav,нехай же зносять в добрий час
filtered-cv10-test/3698.wav,шофер спокійний жартує
filtered-cv10-test/3699.wav,ми теж жартуємо обіцяємо йому п'ять куль у потилицю якщо
filtered-cv10-test/37.wav,і це вам у житті здасться
filtered-cv10-test/370.wav,брехливо облагородили олександра так званого невського
filtered-cv10-test/3700.wav,на вічний вік осиротив
filtered-cv10-test/2618.wav,він схопився на ноги й прислухався
filtered-cv10-test/262.wav,плутон тебе закабалить
filtered-cv10-test/2620.wav,а ввесь ліс жив якимсь невідомим життям
filtered-cv10-test/2622.wav,я не брав він сам дав
filtered-cv10-test/2623.wav,не вір мій пане
filtered-cv10-test/2625.wav,андрій пішов і собі додому
filtered-cv10-test/2627.wav,прилучені до бригади фронтовики переважно москалі перемучені й апатичні
filtered-cv10-test/2628.wav,валялися коробки з консервами шматки ковбаси сухої риби сала
filtered-cv10-test/2629.wav,роль їхня вже визначена
filtered-cv10-test/263.wav,отже звечора підуть полями до кам'янки а під ранок вернуться з харчами
filtered-cv10-test/2630.wav,ті що стояли далі похилившись на рушниці думали кожний свою думу
filtered-cv10-test/2631.wav,от така собі пропасниця
filtered-cv10-test/2632.wav,червоні гарматники мусили би бути великими ворожбитами щоб вгадати де ми перебуваємо
filtered-cv10-test/2633.wav,понад двісті в'язнів скніли у двох величезних сполучених підвалах жінки й чоловіки разом
filtered-cv10-test/2634.wav,віщий сон отамана деркача
filtered-cv10-test/2635.wav,синтаксична роль частки
filtered-cv10-test/801.wav,мовчанка висла й досі й тиснула всім на вуха тоді хтось порушив її
filtered-cv10-test/802.wav,сталося ж зовсім несподіване
filtered-cv10-test/803.wav,а потому й молодим
filtered-cv10-test/805.wav,скільки
filtered-cv10-test/806.wav,пізнати пана по халявах
filtered-cv10-test/807.wav,мене цікавить таке питання
filtered-cv10-test/808.wav,українські міста змінюються та трансформуються
